Timestamp	Container ID	Stream	Log Message
2026-02-16T02:00:30.19236436Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application startup complete.
2026-02-16T02:00:30.19284458Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-16T02:00:30.19331067Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Failure to initialize user app
2026-02-16T02:00:30.1933209Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Error: No module named 'main'
2026-02-16T02:00:30.193495514Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback: 
2026-02-16T02:00:30.193500214Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback (most recent call last):
2026-02-16T02:00:30.193502694Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	  File "/cortex/__cerebrium_src/server.py", line 113, in _load_main_module
2026-02-16T02:00:30.193504824Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	    _main_module = __import__("main")
2026-02-16T02:00:30.193506854Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	                   ^^^^^^^^^^^^^^^^^^
2026-02-16T02:00:30.193508874Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	ModuleNotFoundError: No module named 'main'
2026-02-16T02:00:30.193510904Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T02:00:30.193512904Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T02:00:30.565266Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	Warning: Container 'p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v' terminated with exit code 143.
Cause: Graceful termination (SIGTERM)
Action: Process was asked to shut down gracefully. Check logs to see why it was terminated.
2026-02-16T02:02:24.287820243Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Shutting down
2026-02-16T02:02:24.312876282Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Started server process [7]
2026-02-16T02:02:24.312909363Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Waiting for application startup.
2026-02-16T02:02:24.313166258Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Application startup complete.
2026-02-16T02:02:24.313579836Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-16T02:02:24.314054776Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Failure to initialize user app
2026-02-16T02:02:24.314066157Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Error: No module named 'main'
2026-02-16T02:02:24.314268241Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Traceback: 
2026-02-16T02:02:24.314277691Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Traceback (most recent call last):
2026-02-16T02:02:24.314281821Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	  File "/cortex/__cerebrium_src/server.py", line 113, in _load_main_module
2026-02-16T02:02:24.314285211Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	    _main_module = __import__("main")
2026-02-16T02:02:24.314289761Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	                   ^^^^^^^^^^^^^^^^^^
2026-02-16T02:02:24.314293281Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	ModuleNotFoundError: No module named 'main'
2026-02-16T02:02:24.314296251Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	
2026-02-16T02:02:24.314299181Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	
2026-02-16T02:02:24.388349123Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application shutdown.
2026-02-16T02:02:29.393553118Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Waiting for active requests to complete...
2026-02-16T02:02:29.393596499Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	All active requests completed. Shutting down.
2026-02-16T02:02:29.393760943Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application shutdown complete.
2026-02-16T02:02:29.393808214Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Finished server process [7]
2026-02-16T02:02:29.901354Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	Warning: Container 'p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v' terminated with exit code 143.
Cause: Graceful termination (SIGTERM)
Action: Process was asked to shut down gracefully. Check logs to see why it was terminated.
2026-02-16T02:02:30.135605421Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Started server process [7]
2026-02-16T02:02:30.135633282Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application startup.
2026-02-16T02:02:30.135864667Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Application startup complete.
2026-02-16T02:02:30.136324056Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-16T02:02:30.136837047Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Failure to initialize user app
2026-02-16T02:02:30.136842597Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Error: No module named 'main'
2026-02-16T02:02:30.13700896Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback: 
2026-02-16T02:02:30.13701375Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	Traceback (most recent call last):
2026-02-16T02:02:30.13701666Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	  File "/cortex/__cerebrium_src/server.py", line 113, in _load_main_module
2026-02-16T02:02:30.13701923Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	    _main_module = __import__("main")
2026-02-16T02:02:30.137021711Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	                   ^^^^^^^^^^^^^^^^^^
2026-02-16T02:02:30.137024151Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	ModuleNotFoundError: No module named 'main'
2026-02-16T02:02:30.137029311Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T02:02:30.137031731Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stdout	
2026-02-16T02:02:39.964167315Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Shutting down
2026-02-16T02:02:40.064451848Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-ms46v	stderr	INFO:     Waiting for application shutdown.
2026-02-16T02:04:18.494752994Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Shutting down
2026-02-16T02:04:18.595133671Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Waiting for application shutdown.
2026-02-16T02:04:23.599516065Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Waiting for active requests to complete...
2026-02-16T02:04:23.599608266Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	All active requests completed. Shutting down.
2026-02-16T02:04:23.59977835Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Application shutdown complete.
2026-02-16T02:04:23.599908473Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Finished server process [7]
2026-02-16T02:04:24.234034Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	Warning: Container 'p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk' terminated with exit code 143.
Cause: Graceful termination (SIGTERM)
Action: Process was asked to shut down gracefully. Check logs to see why it was terminated.
2026-02-16T02:04:24.370976272Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Started server process [7]
2026-02-16T02:04:24.371025043Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Waiting for application startup.
2026-02-16T02:04:24.371285479Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Application startup complete.
2026-02-16T02:04:24.371719317Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-16T02:04:24.372553995Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Failure to initialize user app
2026-02-16T02:04:24.372583945Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Error: No module named 'main'
2026-02-16T02:04:24.37283728Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Traceback: 
2026-02-16T02:04:24.372847421Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Traceback (most recent call last):
2026-02-16T02:04:24.372851481Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	  File "/cortex/__cerebrium_src/server.py", line 113, in _load_main_module
2026-02-16T02:04:24.372854861Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	    _main_module = __import__("main")
2026-02-16T02:04:24.372858061Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	                   ^^^^^^^^^^^^^^^^^^
